matricule;classe;credits_capitalized;mpc
14B091;MED6;120;2.9
14B302;MED6;120;2.77
14B016;MED6;120;2.9
14B040;MED6;120;2.75
14B059;MED6;120;3.05
11B247;MED6;120;2.52
14B107;MED6;100;2.32
14B043;MED6;120;3.18
14B110;MED6;120;2.95
14B044;MED6;120;3.15
14B225;MED6;120;2.91
14B116;MED6;120;2.1
14B101;MED6;120;3.13
14B284;MED6;120;3
13B103;MED6;120;2.41
14B305;MED6;120;2.63
14B019;MED6;94;2.02
14B282;MED6;120;3.21
14B117;MED6;120;3.05
14B090;MED6;120;2.83
14B196;MED6;120;2.72
14B136;MED6;120;2.24
17B174;MED6;120;2.84
14B041;MED6;120;3.23
14B198;MED6;120;2.74
14B094;MED6;120;2.79
17B283;MED6;120;2.74
14B030;MED6;120;3.03
14B115;MED6;120;3.15
14B064;MED6;120;2.68
14B092;MED6;120;2.92
13B048;MED6;85;1.59
14B068;MED6;120;2.72
14B061;MED6;120;3.18
14B113;MED6;120;3.01
17B288;MED6;120;2.83
13B131;MED6;119;2.83
14B104;MED6;120;2.5
14B108;MED6;120;3.01
14B034;MED6;120;3.06
13B131;MED;120;2.84
16B212;MED7;180;2.63
13B055;MED7;180;3.09
13B004;MED7;180;2.76
13B060;MED7;180;3.29
13B125;MED7;180;2.81
13B133;MED7;180;3.14
13B057;MED7;180;2.98
13B082;MED7;180;2.61
12B270;MED7;180;2.06
12B288;MED7;180;2.38
13B003;MED7;180;2.96
12B005;MED7;180;2.16
13B097;MED7;180;2.79
12B006;MED7;180;2.37
13B129;MED7;180;3.12
12B007;MED7;180;2.33
13B161;MED7;180;2.34
11B220;MED7;180;2.18
13B069;MED7;160;2.77
13B170;MED7;180;2.74
13B009;MED7;180;2.52
13B132;MED7;180;2.95
13B160;MED7;180;2.49
13B150;MED7;180;2.61
13B058;MED7;180;2.93
13B124;MED7;180;2.72
13B002;MED7;180;2.73
13B151;MED7;181;2.74
12B014;MED7;180;2.3
13B001;MED7;180;2.76
13B104;MED7;180;2.94
13B101;MED7;180;2.88
13B209;MED7;180;2.78
13B135;MED7;180;2.86
13B118;MED7;180;2.91
11B034;MED7;180;1.95
12B017;MED7;180;2.42
13B067;MED7;180;3.02
12B020;MED7;180;2.53
13B275;MED7;180;2.28
12B023;MED7;180;2.61
11B167;MED7;180;2.08
12B212;MED7;180;1.99
13B007;MED7;180;3.28
12B027;MED7;180;2.04
10B018;MED7;180;2.09
