matricule;impaye;encaissement
06C004;;
06C005;;
06C006;;
06C007;;
06C008;175000;
06C009;;
06C010;;
06C011;;
06C012;;
06C013;;
06C014;;
06C015;25000;
06C016;;
06C017;;
06C018;;
06C019;;
06C020;;
06C021;;
06C022;177500;
06C023;;
06C024;;
06C025;;
06C026;;
06C027;;
06C028;;
06C029;;
06C030;;
07B001;;
07B002;;
07B003;;
07B004;;
07B005;;
07B006;;
07B007;;
07B008;;
07B009;;
07B010;;
07B011;;
07B012;;
07B013;;
07B014;;
07B015;;
07B016;;
07B017;;
07B018;;
07B019;;
07B020;;
07B021;;
07B022;;
07B023;;
07B024;;
07B025;;
07B026;;
07B027;;
07B028;;
07B029;;
07B030;;
07B031;;
07B032;;
07B033;;
07B034;;
07B035;;
07B036;;
07B037;;
07B038;;
07B039;;
07B040;;
07B041;;
07B042;;
07B043;;
07B044;;
07B045;;
07B046;;
07B047;;
07B048;;
07B049;;
07B050;;
07B051;;
07B052;;
07B053;;
07B054;;
07B055;;
07B056;;
07B057;;
07B058;;
07B059;;
07B060;;
07B061;;
07B062;;
07B063;;
07B064;;
07B065;;
07B066;;
07B067;;
07B068;;
07B069;;
07B070;;
07B071;;
07B072;;
07B073;;
07B074;;
07B075;;
07B076;;
07B077;;
07B078;;
07B079;;
07B080;;
07B081;;
07B082;;
07B083;;
07B084;;
07B085;;
07B086;;
07B087;;
07B088;;
07B089;;
07B090;;
07B091;;
07B092;;
07B093;;
07B094;;
07B095;;
07B096;;
07B097;;
07B098;;
07B099;;
07B100;;
07B101;;
07B102;;
07B103;;
07B104;;
07B105;;
07B106;;
07B107;;
07B108;;
07B109;;
07B110;;
07B111;;
07B112;;
07B113;;
07B114;;
07B115;;
07B116;;
07B117;;
07B118;;
07B119;;
07B120;;
07B121;;
07B122;;
07B123;;
07B124;;
07B125;;
07B126;;
07B127;;
07B128;;
07B129;;
07B130;;
07B131;;
07B132;;
07B133;;
07B134;;
07B135;;
07B136;;
07B137;;
07B138;;
07B139;;
07B140;;
07B141;;
07B142;;
07B143;;
07B144;;
07B145;;
07B146;;
07B147;;
07B148;;
07B149;;
07B150;;
07B151;;
07B152;;
07B153;;
07B154;;
07B155;;
07B156;;
07B157;;
07B158;;
07B159;;
07B160;;
07B161;;
07B162;;
07B163;;
07B164;;
07C001;;
07C002;;
07C003;;
07C004;;
07C005;;
07C006;;
07C007;;
07C008;;
07C009;;
07C010;;
07C011;;
07C012;;
07C013;;
07C014;;
07C015;275000;
07C016;;
07C017;;
07C018;;
07C019;;
07C020;;
07C021;;
07C022;;
07C023;;
07C024;;
07C025;;
07C026;;
07C027;;
07C028;;
07C029;52500;
07C030;;
07C031;;
07C032;;
07C033;;
07C034;;
07C035;;
07C036;;
07C037;;
07C038;;
07C039;;
07C040;;
07C041;;
07C042;;
07C043;;
07C044;;
07C045;;
07C046;;
07C047;;
07C048;;
07C049;250000;
07C050;;
07C051;;
07C052;;
07C053;;
07C054;;
07C055;;
07C056;;
07C057;2880000;
07C058;;
07C059;;
07C060;;
07C061;;
07C062;;
07C063;;
07C064;;
07C065;;
07C066;;
07C067;;
07C068;;
07C069;;
07C070;;
07C071;;
07C072;;
07C073;;
07C074;;
07C075;;
07C076;;
07C077;;
07C078;;
08B001;;
08B002;;
08B003;;
08B004;;
08B005;;
08B006;;
08B007;;
08B008;;
08B009;;
08B010;;
08B011;;
08B012;;
08B013;;
08B0136;;
08B014;;
08B015;;
08B016;;
08B017;;
08B018;;
08B019;;
08B020;;
08B021;;
08B022;;
08B023;;
08B024;;
08B025;;
08B026;;
08B027;;
08B028;;
08B029;;
08B030;;
08B031;;
08B032;;
08B033;;
08B034;;
08B035;;
08B036;;
08B037;;
08B038;;
08B039;;
08B040;;
08B041;;
08B042;;
08B043;;
08B044;;
08B045;;
08B046;;
08B047;;
08B048;;
08B049;;
08B050;;
08B051;;
08B052;;
08B053;;
08B054;;
08B055;;
08B056;;
08B057;;
08B058;;
08B059;;
08B060;;
08B061;;
08B062;;
08B063;;
08B064;;
08B065;;
08B066;;
08B067;;
08B068;;
08B069;;
08B070;;
08B071;;
08B072;;
08B073;;
08B074;;
08B075;;
08B076;;
08B077;;
08B078;;
08B079;;
08B080;;
08B081;;
08B082;;
08B083;;
08B084;;
08B085;;
08B086;;
08B087;;
08B088;;
08B089;;
08B090;;
08B091;;
08B092;;
08B093;;
08B094;;
08B095;;
08B096;;
08B097;;
08B098;;
08B099;;
08B100;;
08B101;;
08B102;;
08B103;;
08B104;;
08B105;;
08B106;;
08B107;;
08B108;;
08B109;;
08B110;;
08B111;;
08B112;;
08B113;;
08B114;;
08B115;;
08B116;;
08B117;;
08B118;;
08B119;;
08B120;;
08B121;;
08B122;;
08B123;;
08B124;;
08B125;;
08B126;;
08B127;;
08B128;;
08B129;;
08B130;;
08B131;;
08B132;;
08B133;;
08B134;;
08B135;;
08B136;;
08B137;;
08B138;;
08B139;;
08B140;;
08B141;;
08B142;;
08B143;;
08B144;;
08B145;;
08B146;;
08B147;;
08B148;;
08B149;;
08B150;;
08B151;;
08B152;;
08B153;;
08B154;;
08B155;;
08B156;;
08B157;;
08B158;;
08B159;;
08B160;;
08B161;;
08B162;;
08B163;;
08B164;;
08B165;;
08B166;;
08B167;;
08B168;;
08B169;;
08B170;;
08B171;;
08B172;;
08B173;;
08B174;;
08B175;;
08B176;;
08B177;;
08B178;;
08B179;;
08B180;;
08B181;;
08B182;;
08B183;;
08B184;;
08B185;;
08B186;;
08B187;;
08B188;;
08B189;;
08B190;;
08B191;;
08B192;;
08B193;2920000;
08B194;;
08B195;;
08B196;;
08B197;;
08B198;;
08B199;;
08B200;;
08B201;;
08B202;;
08B203;;
08B204;;
08B205;;
08B206;;
08B207;;
08B208;;
08B209;;
08B210;;
08B211;;
08B212;;
08B213;;
08B214;;
08B215;;
08B216;;
08B217;;
08B218;;
08B219;;
08B220;;
08B221;;
08B222;;
08B223;;
08B224;;
08B225;;
08B226;;
08B227;;
08B228;;
08B229;;
08B230;;
08B231;;
08C001;;
08C002;;
08C003;;
08C004;;
08C005;610000;
08C006;;
08C007;607500;
08C008;;
08C009;;
08C010;;
08C011;;
08C012;;
08C013;;
08C014;;
08C015;1001427;
08C016;;
08C017;;
08C018;;
08C019;;
08C020;;
08C021;;
08C022;;
08C023;;
08C024;150000;
08C025;530000;
08C026;;
08C027;;
08C028;;
08C029;;
08C030;;
08C031;;
08C032;;
08C033;;
08C034;;
08C035;830000;
08C036;;
08C037;;
08C038;;
08C039;880000;
08C040;;
08C041;;
08C042;;
08C043;;
08C044;;
08C045;;
08C046;;
08C047;;
08C048;;
08C049;;
08C050;;
08C051;;
08C052;;
08C053;;
08C054;;
08C055;;
08C056;;
08C057;;
08C058;;
08C059;;
08C060;;
08C061;;
08C062;;
08C063;;
08C064;;
08C065;;
08C066;;
08C067;;
08C068;;
08C069;;
08C070;;
08C071;;
08C072;;
08C073;;
08C074;;
08C075;;
08C076;;
08C077;840000;
08C078;;
08C079;;
08C080;;
08C081;;
08C082;;
08C083;;
08C084;;
08C085;257500;
08C086;;
08C087;;
08C088;;
09B001;;
09B002;;
09B003;;
09B004;;
09B005;;
09B006;;
09B007;;
09B008;;
09B009;;
09B010;;
09B011;;
09B012;;
09B013;;
09B014;;
09B015;;
09B016;;
09B017;;
09B018;;
09B019;;
09B020;;
09B021;;
09B022;;
09B023;;
09B024;;
09B025;;
09B026;;
09B027;;
09B028;;
09B029;;
09B030;;
09B031;;
09B032;;
09B033;;
09B034;;
09B035;;
09B036;;
09B037;;
09B038;;
09B039;;
09B040;;
09B041;;
09B042;;
09B043;;
09B044;;
09B045;;
09B046;;
09B047;;
09B048;;
09B049;;
09B050;;
09B051;;
09B052;;
09B053;;
09B054;;
09B055;;
09B056;;
09B057;;
09B058;;
09B059;;
09B060;;
09B061;;
09B062;;
09B063;;
09B064;;
09B065;;
09B066;;
09B067;;
09B068;;
09B069;;
09B070;;
09B071;;
09B072;;
09B073;;
09B074;;
09B075;;
09B076;;
09B077;;
09B078;;
09B079;;
09B080;;
09B081;;
09B082;;
09B083;;
09B084;;
09B085;;
09B086;;
09B087;295000;
09B088;;
09B089;;
09B090;;
09B091;;
09B092;;
09B093;;
09B094;;
09B095;;
09B096;;
09B097;;
09B098;;
09B099;;
09B100;;
09B101;;
09B102;;
09B103;;
09B104;;
09B105;;
09B106;;
09B107;;
09B108;;
09B109;;
09B110;;
09B111;;
09B112;;
09B113;;
09B114;;
09B115;;
09B116;;
09B117;;
09B118;;
09B119;;
09B120;;
09B121;;
09B122;;
09B123;;
09B124;;
09B125;;
09B126;;
09B127;;
09B128;;
09B129;;
09B130;;
09B131;;
09B132;;
09B133;;
09B134;;
09B135;;
09B136;;
09B137;;
09B138;;
09B139;;
09B140;;
09B141;;
09B142;;
09B143;;
09B144;;
09B145;;
09B146;;
09B147;;
09B148;;
09B149;;
09B150;;
09B151;;
09B152;;
09B153;;
09B154;830000;
09B155;;
09B156;;
09B157;;
09B158;;
09B159;;
09B160;;
09B161;;
09B162;;
09B163;;
09B164;;
09B165;;
09B166;;
09B167;;
09B168;;
09B169;;
09B170;;
09B171;;
09B172;;
09B173;;
09B174;;
09B175;;
09B176;;
09B177;;
09B178;;
09B179;;
09B180;;
09B181;;
09B182;;
09B183;;
09B184;;
09B185;;
09B186;;
09B187;;
09B188;;
09B189;;
09B190;;
09B191;;
09B192;;
09B193;;
09B194;;
09B195;;
09B196;;
09B197;;
09B198;;
09B199;;
09B200;;
09B201;;
09B202;;
09B203;;
09B204;;
09B205;;
09B206;;
09B207;;
09B208;;
09B209;;
09B210;;
09B211;;
09B212;;
09B213;;
09B214;;
09B215;;
09B216;;
09B217;;
09B218;;
09B219;;
09B220;;
09B221;;
09B222;;
09B223;;
09B224;;
09B225;;
09B226;;
09B227;;
09B228;;
09B229;;
09B230;;
09B231;;
09B232;;
09B233;;
09B234;;
09B235;;
09B236;;
09B237;;
09B238;;
09B239;;
09B240;;
09B241;;
09B242;;
09B243;;
09B244;;
09B245;;
09B246;;
09B247;;
09B248;;
09B249;;
09B250;;
09B251;;
09B252;;
09B253;;
09B254;;
09B255;;
09B256;;
09B257;;
09B258;;
09B259;;
09B260;;
09B261;;
09B262;;
09B263;;
09B264;;
09B265;;
09B266;;
09B267;;
09B268;;
09B269;;
09B270;;
09B271;;
09B272;;
09B273;;
09B274;;
09B275;;
09B276;;
09B277;;
09B278;;
09B279;;
09B280;;
09B281;;
09B282;;
09B283;;
09B284;;
09B285;;
09B286;;
09B287;;
09B288;;
09B289;;
09B290;;
09C001;;
09C002;;
09C003;;
09C004;;
09C005;;
09C006;;
09C007;;
09C008;245000;
09C009;;
09C010;;
09C011;;
09C012;;
09C013;;
09C014;;
09C015;;
09C016;;
09C017;550000;
09C018;;
09C019;;
09C020;;
09C021;;
09C022;;
09C023;;
09C024;;
09C025;;
09C026;;
09C027;;
09C028;932500;
09C029;400000;
09C030;;
09C031;460000;
09C032;;
09C033;;
09C034;;
09C035;;
09C036;;
09C037;;
09C038;;
09C039;;
09C040;;
09C041;;
09C042;;
09C043;610000;
09C044;;
09C045;;
09C046;;
09C047;760000;
09C048;;
09C049;;
09C050;;
09C051;;
09C052;;
09C053;;
09C054;;
09C055;;
09C056;856000;
09C057;;
09C058;;
09C059;;
09C060;;
09C061;;
09C062;;
09C063;;
09C064;;
09C065;;
09C066;;
09C067;;
09C068;;
09C069;;
09C070;;
09C071;;
09C072;;
09C073;75000;
09C074;390000;
09C075;;
09C076;;
09C077;;
09C078;;
09C079;;
09C080;;
09C081;;
09C082;;
09C083;;
09C084;;
09C085;;
09C086;;
09C087;;
09C088;;
09C089;;
09C090;610000;
09C091;;
10B001;;
10B002;;
10B003;;
10B004;;
10B005;;
10B006;;
