matricule;classe;mpc;credits_capitalized
15B229;MED5;2,91;60
18B115;MED5;2,66;55
15B104;MED5;1,82;38
15B218;MED5;2,51;52
15B074;MED5;3,00;60
15B088;MED5;2,82;57
15B236;MED5;3,11;60
15B033;MED5;0,00;0
15B161;MED5;3,18;60
15B157;MED5;2,67;55
15B156;MED5;2,86;57
15B230;MED5;3,22;60
15B029;MED5;1,89;42
15B084;MED5;2,29;55
15B210;MED5;2,07;50
15B223;MED5;2,59;55
14B089;MED6;2,89;120
13B117;MED6;2,62;120
14B018;MED6;2,77;120
14B106;MED6;3,28;120
14B058;MED6;2,64;120
14B036;MED6;3,25;120
14B056;MED6;2,73;120
14B093;MED6;3,02;120
14B296;MED6;2,99;120
14B111;MED6;2,80;120
14B057;MED6;2,70;120
14B055;MED6;2,71;120
14B105;MED6;2,97;120
14B070;MED6;3,26;120
14B118;MED6;3,15;120
17B249;MED6;2,67;120
14B119;MED6;2,59;120
14B109;MED6;2,84;120
14B066;MED6;3,03;120
14B017;MED6;2,68;120
14B038;MED6;2,89;120
14B087;MED6;2,74;120
14B022;MED6;2,68;120
14B081;MED6;2,73;120
14B103;MED6;2,75;120
14B096;MED6;2,68;120
13B013;MED6;1,40;95
14B091;MED6;2,90;120
14B302;MED6;2,77;120
14B016;MED6;2,90;120
14B040;MED6;2,75;120
14B059;MED6;3,05;120
11B247;MED6;2,52;120
14B107;MED6;2,32;100
14B043;MED6;3,18;120
14B110;MED6;2,95;120
14B044;MED6;3,15;120
14B225;MED6;2,91;120
14B116;MED6;2,10;120
14B101;MED6;3,13;120
14B284;MED6;3,00;120
13B103;MED6;2,41;120
14B305;MED6;2,63;120
14B019;MED6;2,02;94
14B282;MED6;3,21;120
14B117;MED6;3,05;120
14B090;MED6;2,83;120
14B196;MED6;2,72;120
14B136;MED6;2,24;120
17B174;MED6;2,84;120
14B041;MED6;3,23;120
14B198;MED6;2,74;120
14B094;MED6;2,79;120
17B283;MED6;2,74;120
14B030;MED6;3,03;120
14B115;MED6;3,15;120
14B064;MED6;2,68;120
14B092;MED6;2,92;120
13B048;MED6;1,59;85
14B068;MED6;2,72;120
14B061;MED6;3,18;120
14B113;MED6;3,01;120
17B288;MED6;2,83;120
13B131;MED6;2,83;119
14B104;MED6;2,50;120
14B108;MED6;3,01;120
14B034;MED6;3,06;120
13B131;MED6;2,84;120
